HeadNo,Ping,HeadID,Timestamp,TimeZoneOffset,FOV_minAngleInDegrees,FOV_maxAngleInDegrees,StartRange,StopRange,SoundSpeed,MaxReturnSignal,HasNavData,PanAxisDegrees,TiltAxisDegrees,HasSignal,HasStoredRangeProfile
0,0,0,1.75196e+09,-32400,-21.4182,21.4182,0.402656,15,1500,0.461651,0,237.77,165.766,1,0
0,1,0,1.75196e+09,-32400,-21.4182,21.4182,0.402656,15,1500,0.456277,0,237.794,165.766,1,0
0,2,0,1.75196e+09,-32400,-21.4182,21.4182,0.402656,15,1500,0.457255,0,238.037,165.766,1,0
0,3,0,1.75196e+09,-32400,-21.4182,21.4182,0.402656,15,1500,0.456766,0,238.15,165.766,1,0
0,4,0,1.75196e+09,-32400,-21.4182,21.4182,0.402656,15,1500,0.480215,0,238.361,165.766,1,0
0,5,0,1.75196e+09,-32400,-21.4182,21.4182,0.402656,15,1500,0.481681,0,238.528,165.766,1,0
0,6,0,1.75196e+09,-32400,-21.4182,21.4182,0.402656,15,1500,0.479238,0,238.717,165.766,1,0
0,7,0,1.75196e+09,-32400,-21.4182,21.4182,0.402656,15,1500,0.493894,0,238.856,165.766,1,0
0,8,0,1.75196e+09,-32400,-21.4182,21.4182,0.402656,15,1500,0.506106,0,239.068,165.766,1,0
0,9,0,1.75196e+09,-32400,-21.4182,21.4182,0.402656,15,1500,0.502198,0,239.23,165.766,1,0
